ID,X,Y
Bauxite_compact_1,134.0,792.0
Bauxite_compact_1,129.0,792.0
Bauxite_compact_1,129.0,791.0
Bauxite_compact_1,128.0,791.0
Bauxite_compact_1,128.0,790.0
Bauxite_compact_1,122.0,790.0
Bauxite_compact_1,122.0,789.0
Bauxite_compact_1,119.0,789.0
Bauxite_compact_1,119.0,788.0
Bauxite_compact_1,118.0,788.0
Bauxite_compact_1,118.0,787.0
Bauxite_compact_1,115.0,787.0
Bauxite_compact_1,115.0,785.0
Bauxite_compact_1,113.0,785.0
Bauxite_compact_1,113.0,784.0
Bauxite_compact_1,109.0,784.0
Bauxite_compact_1,109.0,783.0
Bauxite_compact_1,108.0,783.0
Bauxite_compact_1,108.0,782.0
Bauxite_compact_1,105.0,782.0
Bauxite_compact_1,105.0,781.0
Bauxite_compact_1,104.0,781.0
Bauxite_compact_1,104.0,780.0
Bauxite_compact_1,101.0,780.0
Bauxite_compact_1,101.0,778.0
Bauxite_compact_1,99.0,778.0
Bauxite_compact_1,99.0,777.0
Bauxite_compact_1,98.0,777.0
Bauxite_compact_1,98.0,775.0
Bauxite_compact_1,94.0,775.0
Bauxite_compact_1,94.0,773.0
Bauxite_compact_1,93.0,773.0
Bauxite_compact_1,93.0,772.0
Bauxite_compact_1,92.0,772.0
Bauxite_compact_1,92.0,771.0
Bauxite_compact_1,91.0,771.0
Bauxite_compact_1,91.0,770.0
Bauxite_compact_1,88.0,770.0
Bauxite_compact_1,88.0,769.0
Bauxite_compact_1,87.0,769.0
Bauxite_compact_1,87.0,768.0
Bauxite_compact_1,84.0,768.0
Bauxite_compact_1,84.0,766.0
Bauxite_compact_1,82.0,766.0
Bauxite_compact_1,82.0,765.0
Bauxite_compact_1,79.0,765.0
Bauxite_compact_1,79.0,763.0
Bauxite_compact_1,77.0,763.0
Bauxite_compact_1,77.0,761.0
Bauxite_compact_1,75.0,761.0
Bauxite_compact_1,75.0,759.0
Bauxite_compact_1,74.0,759.0
Bauxite_compact_1,74.0,758.0
Bauxite_compact_1,72.0,758.0
Bauxite_compact_1,72.0,756.0
Bauxite_compact_1,70.0,756.0
Bauxite_compact_1,70.0,752.0
Bauxite_compact_1,68.0,752.0
Bauxite_compact_1,68.0,746.0
Bauxite_compact_1,69.0,746.0
Bauxite_compact_1,69.0,745.0
Bauxite_compact_1,70.0,745.0
Bauxite_compact_1,70.0,741.0
Bauxite_compact_1,71.0,741.0
Bauxite_compact_1,71.0,740.0
Bauxite_compact_1,72.0,740.0
Bauxite_compact_1,72.0,730.0
Bauxite_compact_1,74.0,730.0
Bauxite_compact_1,74.0,727.0
Bauxite_compact_1,75.0,727.0
Bauxite_compact_1,75.0,723.0
Bauxite_compact_1,77.0,723.0
Bauxite_compact_1,77.0,721.0
Bauxite_compact_1,79.0,721.0
Bauxite_compact_1,79.0,720.0
Bauxite_compact_1,80.0,720.0
Bauxite_compact_1,80.0,719.0
Bauxite_compact_1,81.0,719.0
Bauxite_compact_1,81.0,718.0
Bauxite_compact_1,82.0,718.0
Bauxite_compact_1,82.0,710.0
Bauxite_compact_1,83.0,710.0
Bauxite_compact_1,83.0,709.0
Bauxite_compact_1,84.0,709.0
Bauxite_compact_1,84.0,702.0
Bauxite_compact_1,86.0,702.0
Bauxite_compact_1,86.0,694.0
Bauxite_compact_1,87.0,694.0
Bauxite_compact_1,87.0,689.0
Bauxite_compact_1,88.0,689.0
Bauxite_compact_1,88.0,688.0
Bauxite_compact_1,89.0,688.0
Bauxite_compact_1,89.0,685.0
Bauxite_compact_1,91.0,685.0
Bauxite_compact_1,91.0,682.0
Bauxite_compact_1,92.0,682.0
Bauxite_compact_1,92.0,681.0
Bauxite_compact_1,93.0,681.0
Bauxite_compact_1,93.0,678.0
Bauxite_compact_1,94.0,678.0
Bauxite_compact_1,94.0,665.0
Bauxite_compact_1,95.0,665.0
Bauxite_compact_1,95.0,664.0
Bauxite_compact_1,96.0,664.0
Bauxite_compact_1,96.0,661.0
Bauxite_compact_1,98.0,661.0
Bauxite_compact_1,98.0,659.0
Bauxite_compact_1,99.0,659.0
Bauxite_compact_1,99.0,651.0
Bauxite_compact_1,100.0,651.0
Bauxite_compact_1,100.0,650.0
Bauxite_compact_1,101.0,650.0
Bauxite_compact_1,101.0,649.0
Bauxite_compact_1,103.0,649.0
Bauxite_compact_1,103.0,647.0
Bauxite_compact_1,104.0,647.0
Bauxite_compact_1,104.0,646.0
Bauxite_compact_1,105.0,646.0
Bauxite_compact_1,105.0,645.0
Bauxite_compact_1,110.0,645.0
Bauxite_compact_1,110.0,644.0
Bauxite_compact_1,125.0,644.0
Bauxite_compact_1,125.0,642.0
Bauxite_compact_1,129.0,642.0
Bauxite_compact_1,129.0,640.0
Bauxite_compact_1,132.0,640.0
Bauxite_compact_1,132.0,639.0
Bauxite_compact_1,133.0,639.0
Bauxite_compact_1,133.0,638.0
Bauxite_compact_1,139.0,638.0
Bauxite_compact_1,139.0,637.0
Bauxite_compact_1,140.0,637.0
Bauxite_compact_1,140.0,636.0
Bauxite_compact_1,141.0,636.0
Bauxite_compact_1,141.0,635.0
Bauxite_compact_1,144.0,635.0
Bauxite_compact_1,144.0,634.0
Bauxite_compact_1,145.0,634.0
Bauxite_compact_1,145.0,633.0
Bauxite_compact_1,146.0,633.0
Bauxite_compact_1,146.0,632.0
Bauxite_compact_1,147.0,632.0
Bauxite_compact_1,147.0,631.0
Bauxite_compact_1,148.0,631.0
Bauxite_compact_1,148.0,630.0
Bauxite_compact_1,149.0,630.0
Bauxite_compact_1,149.0,629.0
Bauxite_compact_1,150.0,629.0
Bauxite_compact_1,150.0,628.0
Bauxite_compact_1,153.0,628.0
Bauxite_compact_1,153.0,626.0
Bauxite_compact_1,155.0,626.0
Bauxite_compact_1,155.0,625.0
Bauxite_compact_1,156.0,625.0
Bauxite_compact_1,156.0,623.0
Bauxite_compact_1,158.0,623.0
Bauxite_compact_1,158.0,621.0
Bauxite_compact_1,160.0,621.0
Bauxite_compact_1,160.0,619.0
Bauxite_compact_1,162.0,619.0
Bauxite_compact_1,162.0,618.0
Bauxite_compact_1,163.0,618.0
Bauxite_compact_1,163.0,616.0
Bauxite_compact_1,167.0,616.0
Bauxite_compact_1,167.0,614.0
Bauxite_compact_1,168.0,614.0
Bauxite_compact_1,168.0,613.0
Bauxite_compact_1,169.0,613.0
Bauxite_compact_1,169.0,612.0
Bauxite_compact_1,170.0,612.0
Bauxite_compact_1,170.0,611.0
Bauxite_compact_1,173.0,611.0
Bauxite_compact_1,173.0,610.0
Bauxite_compact_1,174.0,610.0
Bauxite_compact_1,174.0,609.0
Bauxite_compact_1,180.0,609.0
Bauxite_elongated_1,628.0,44.0
Bauxite_elongated_1,629.0,44.0
Bauxite_elongated_1,629.0,45.0
Bauxite_elongated_1,641.0,45.0
Bauxite_elongated_1,641.0,46.0
Bauxite_elongated_1,643.0,46.0
Bauxite_elongated_1,643.0,47.0
Bauxite_elongated_1,644.0,47.0
Bauxite_elongated_1,644.0,48.0
Bauxite_elongated_1,645.0,48.0
Bauxite_elongated_1,645.0,49.0
Bauxite_elongated_1,646.0,49.0
Bauxite_elongated_1,646.0,50.0
Bauxite_elongated_1,647.0,50.0
Bauxite_elongated_1,647.0,51.0
Bauxite_elongated_1,648.0,51.0
Bauxite_elongated_1,648.0,52.0
Bauxite_elongated_1,649.0,52.0
Bauxite_elongated_1,649.0,55.0
Bauxite_elongated_1,651.0,55.0
Bauxite_elongated_1,651.0,57.0
Bauxite_elongated_1,652.0,57.0
Bauxite_elongated_1,652.0,58.0
Bauxite_elongated_1,654.0,58.0
Bauxite_elongated_1,654.0,60.0
Bauxite_elongated_1,656.0,60.0
Bauxite_elongated_1,656.0,63.0
Bauxite_elongated_1,657.0,63.0
Bauxite_elongated_1,657.0,64.0
Bauxite_elongated_1,659.0,64.0
Bauxite_elongated_1,659.0,67.0
Bauxite_elongated_1,660.0,67.0
